task,representation,model,split_seed,partition,audit_count_in_stratum,stratum_coreset_score
arousal,all,gpu_mlp,20260813,heldout,3,0.06475775042007319
arousal,all,gpu_mlp,20260829,audit,3,0.06475775042007319
arousal,all,gpu_mlp,20260911,audit,3,0.06475775042007319
arousal,all,gpu_mlp,20260923,heldout,3,0.06475775042007319
arousal,all,gpu_mlp,20261007,audit,3,0.06475775042007319
arousal,all,linear_logistic,20260813,audit,2,0.16051320774341973
arousal,all,linear_logistic,20260829,heldout,2,0.16051320774341973
arousal,all,linear_logistic,20260911,heldout,2,0.16051320774341973
arousal,all,linear_logistic,20260923,audit,2,0.16051320774341973
arousal,all,linear_logistic,20261007,heldout,2,0.16051320774341973
arousal,baseline_delta,gpu_mlp,20260813,heldout,2,0.15924545296226164
arousal,baseline_delta,gpu_mlp,20260829,audit,2,0.15924545296226164
arousal,baseline_delta,gpu_mlp,20260911,heldout,2,0.15924545296226164
arousal,baseline_delta,gpu_mlp,20260923,audit,2,0.15924545296226164
arousal,baseline_delta,gpu_mlp,20261007,heldout,2,0.15924545296226164
arousal,baseline_delta,linear_logistic,20260813,heldout,3,0.05655448578561406
arousal,baseline_delta,linear_logistic,20260829,audit,3,0.05655448578561406
arousal,baseline_delta,linear_logistic,20260911,audit,3,0.05655448578561406
arousal,baseline_delta,linear_logistic,20260923,heldout,3,0.05655448578561406
arousal,baseline_delta,linear_logistic,20261007,audit,3,0.05655448578561406
arousal,normalized_asymmetry,gpu_mlp,20260813,heldout,3,0.0775270514553702
arousal,normalized_asymmetry,gpu_mlp,20260829,audit,3,0.0775270514553702
arousal,normalized_asymmetry,gpu_mlp,20260911,audit,3,0.0775270514553702
arousal,normalized_asymmetry,gpu_mlp,20260923,heldout,3,0.0775270514553702
arousal,normalized_asymmetry,gpu_mlp,20261007,audit,3,0.0775270514553702
arousal,normalized_asymmetry,linear_logistic,20260813,audit,2,0.2541199471990263
arousal,normalized_asymmetry,linear_logistic,20260829,audit,2,0.2541199471990263
arousal,normalized_asymmetry,linear_logistic,20260911,heldout,2,0.2541199471990263
arousal,normalized_asymmetry,linear_logistic,20260923,heldout,2,0.2541199471990263
arousal,normalized_asymmetry,linear_logistic,20261007,heldout,2,0.2541199471990263
arousal,relative_power,gpu_mlp,20260813,audit,2,0.25687475284388633
arousal,relative_power,gpu_mlp,20260829,heldout,2,0.25687475284388633
arousal,relative_power,gpu_mlp,20260911,heldout,2,0.25687475284388633
arousal,relative_power,gpu_mlp,20260923,audit,2,0.25687475284388633
arousal,relative_power,gpu_mlp,20261007,heldout,2,0.25687475284388633
arousal,relative_power,linear_logistic,20260813,heldout,3,0.1380401415750642
arousal,relative_power,linear_logistic,20260829,audit,3,0.1380401415750642
arousal,relative_power,linear_logistic,20260911,heldout,3,0.1380401415750642
arousal,relative_power,linear_logistic,20260923,audit,3,0.1380401415750642
arousal,relative_power,linear_logistic,20261007,audit,3,0.1380401415750642
valence,all,gpu_mlp,20260813,heldout,2,0.015993339877459004
valence,all,gpu_mlp,20260829,heldout,2,0.015993339877459004
valence,all,gpu_mlp,20260911,heldout,2,0.015993339877459004
valence,all,gpu_mlp,20260923,audit,2,0.015993339877459004
valence,all,gpu_mlp,20261007,audit,2,0.015993339877459004
valence,all,linear_logistic,20260813,audit,3,0.003976413522395707
valence,all,linear_logistic,20260829,audit,3,0.003976413522395707
valence,all,linear_logistic,20260911,audit,3,0.003976413522395707
valence,all,linear_logistic,20260923,heldout,3,0.003976413522395707
valence,all,linear_logistic,20261007,heldout,3,0.003976413522395707
valence,baseline_delta,gpu_mlp,20260813,audit,3,0.004838435483066301
valence,baseline_delta,gpu_mlp,20260829,audit,3,0.004838435483066301
valence,baseline_delta,gpu_mlp,20260911,heldout,3,0.004838435483066301
valence,baseline_delta,gpu_mlp,20260923,heldout,3,0.004838435483066301
valence,baseline_delta,gpu_mlp,20261007,audit,3,0.004838435483066301
valence,baseline_delta,linear_logistic,20260813,audit,2,0.013701394507627973
valence,baseline_delta,linear_logistic,20260829,audit,2,0.013701394507627973
valence,baseline_delta,linear_logistic,20260911,heldout,2,0.013701394507627973
valence,baseline_delta,linear_logistic,20260923,heldout,2,0.013701394507627973
valence,baseline_delta,linear_logistic,20261007,heldout,2,0.013701394507627973
valence,normalized_asymmetry,gpu_mlp,20260813,audit,2,0.022750971870477442
valence,normalized_asymmetry,gpu_mlp,20260829,audit,2,0.022750971870477442
valence,normalized_asymmetry,gpu_mlp,20260911,heldout,2,0.022750971870477442
valence,normalized_asymmetry,gpu_mlp,20260923,heldout,2,0.022750971870477442
valence,normalized_asymmetry,gpu_mlp,20261007,heldout,2,0.022750971870477442
valence,normalized_asymmetry,linear_logistic,20260813,heldout,3,0.007532547144742999
valence,normalized_asymmetry,linear_logistic,20260829,heldout,3,0.007532547144742999
valence,normalized_asymmetry,linear_logistic,20260911,audit,3,0.007532547144742999
valence,normalized_asymmetry,linear_logistic,20260923,audit,3,0.007532547144742999
valence,normalized_asymmetry,linear_logistic,20261007,audit,3,0.007532547144742999
valence,relative_power,gpu_mlp,20260813,audit,3,0.006013498001695685
valence,relative_power,gpu_mlp,20260829,audit,3,0.006013498001695685
valence,relative_power,gpu_mlp,20260911,heldout,3,0.006013498001695685
valence,relative_power,gpu_mlp,20260923,heldout,3,0.006013498001695685
valence,relative_power,gpu_mlp,20261007,audit,3,0.006013498001695685
valence,relative_power,linear_logistic,20260813,heldout,2,0.011744203257560724
valence,relative_power,linear_logistic,20260829,heldout,2,0.011744203257560724
valence,relative_power,linear_logistic,20260911,audit,2,0.011744203257560724
valence,relative_power,linear_logistic,20260923,audit,2,0.011744203257560724
valence,relative_power,linear_logistic,20261007,heldout,2,0.011744203257560724
