dataset,population,representation,n_features,axis,probe_model,split_seed,n_classes,chance,balanced_accuracy
EPPVR,audit_population,all,72,subject,linear,20260813,15,0.06666666666666667,0.5857142857142856
EPPVR,audit_population,all,72,subject,rbf,20260813,15,0.06666666666666667,0.5380952380952381
EPPVR,audit_population,relative_power,24,subject,linear,20260813,15,0.06666666666666667,0.38571428571428573
EPPVR,audit_population,relative_power,24,subject,rbf,20260813,15,0.06666666666666667,0.3523809523809524
EPPVR,audit_population,normalized_asymmetry,12,subject,linear,20260813,15,0.06666666666666667,0.32380952380952377
EPPVR,audit_population,normalized_asymmetry,12,subject,rbf,20260813,15,0.06666666666666667,0.35238095238095235
EPPVR,audit_population,baseline_delta,72,subject,linear,20260813,15,0.06666666666666667,0.5857142857142857
EPPVR,audit_population,baseline_delta,72,subject,rbf,20260813,15,0.06666666666666667,0.5666666666666667
EPPVR,audit_population,all,72,subject,linear,20260829,15,0.06666666666666667,0.6095238095238095
EPPVR,audit_population,all,72,subject,rbf,20260829,15,0.06666666666666667,0.5428571428571428
EPPVR,audit_population,relative_power,24,subject,linear,20260829,15,0.06666666666666667,0.3714285714285714
EPPVR,audit_population,relative_power,24,subject,rbf,20260829,15,0.06666666666666667,0.3428571428571428
EPPVR,audit_population,normalized_asymmetry,12,subject,linear,20260829,15,0.06666666666666667,0.3142857142857143
EPPVR,audit_population,normalized_asymmetry,12,subject,rbf,20260829,15,0.06666666666666667,0.3476190476190476
EPPVR,audit_population,baseline_delta,72,subject,linear,20260829,15,0.06666666666666667,0.6142857142857142
EPPVR,audit_population,baseline_delta,72,subject,rbf,20260829,15,0.06666666666666667,0.5761904761904761
EPPVR,audit_population,all,72,subject,linear,20260911,15,0.06666666666666667,0.6142857142857143
EPPVR,audit_population,all,72,subject,rbf,20260911,15,0.06666666666666667,0.5523809523809523
EPPVR,audit_population,relative_power,24,subject,linear,20260911,15,0.06666666666666667,0.37619047619047613
EPPVR,audit_population,relative_power,24,subject,rbf,20260911,15,0.06666666666666667,0.3476190476190476
EPPVR,audit_population,normalized_asymmetry,12,subject,linear,20260911,15,0.06666666666666667,0.33809523809523817
EPPVR,audit_population,normalized_asymmetry,12,subject,rbf,20260911,15,0.06666666666666667,0.39047619047619053
EPPVR,audit_population,baseline_delta,72,subject,linear,20260911,15,0.06666666666666667,0.6238095238095237
EPPVR,audit_population,baseline_delta,72,subject,rbf,20260911,15,0.06666666666666667,0.5523809523809523
EPPVR,audit_population,all,72,subject,linear,20260923,15,0.06666666666666667,0.5428571428571428
EPPVR,audit_population,all,72,subject,rbf,20260923,15,0.06666666666666667,0.5047619047619049
EPPVR,audit_population,relative_power,24,subject,linear,20260923,15,0.06666666666666667,0.35238095238095235
EPPVR,audit_population,relative_power,24,subject,rbf,20260923,15,0.06666666666666667,0.30952380952380953
EPPVR,audit_population,normalized_asymmetry,12,subject,linear,20260923,15,0.06666666666666667,0.3523809523809524
EPPVR,audit_population,normalized_asymmetry,12,subject,rbf,20260923,15,0.06666666666666667,0.3380952380952381
EPPVR,audit_population,baseline_delta,72,subject,linear,20260923,15,0.06666666666666667,0.5857142857142856
EPPVR,audit_population,baseline_delta,72,subject,rbf,20260923,15,0.06666666666666667,0.5428571428571428
EPPVR,audit_population,all,72,subject,linear,20261007,15,0.06666666666666667,0.5285714285714286
EPPVR,audit_population,all,72,subject,rbf,20261007,15,0.06666666666666667,0.5047619047619049
EPPVR,audit_population,relative_power,24,subject,linear,20261007,15,0.06666666666666667,0.36666666666666664
EPPVR,audit_population,relative_power,24,subject,rbf,20261007,15,0.06666666666666667,0.2857142857142857
EPPVR,audit_population,normalized_asymmetry,12,subject,linear,20261007,15,0.06666666666666667,0.32857142857142857
EPPVR,audit_population,normalized_asymmetry,12,subject,rbf,20261007,15,0.06666666666666667,0.3714285714285714
EPPVR,audit_population,baseline_delta,72,subject,linear,20261007,15,0.06666666666666667,0.557142857142857
EPPVR,audit_population,baseline_delta,72,subject,rbf,20261007,15,0.06666666666666667,0.557142857142857
EPPVR,evaluation_population,all,72,subject,linear,20260813,15,0.06666666666666667,0.561904761904762
EPPVR,evaluation_population,all,72,subject,rbf,20260813,15,0.06666666666666667,0.5238095238095237
EPPVR,evaluation_population,relative_power,24,subject,linear,20260813,15,0.06666666666666667,0.2904761904761905
EPPVR,evaluation_population,relative_power,24,subject,rbf,20260813,15,0.06666666666666667,0.2571428571428572
EPPVR,evaluation_population,normalized_asymmetry,12,subject,linear,20260813,15,0.06666666666666667,0.4
EPPVR,evaluation_population,normalized_asymmetry,12,subject,rbf,20260813,15,0.06666666666666667,0.4523809523809524
