task,representation,n_features,model,split_seed,nominal_dose,unseen_balanced_accuracy,dose_balanced_accuracy,subject_exposure_effect,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,population
arousal,all,72,gpu_mlp,20260813,0.0,0.4524948735475051,0.45830485304169516,0.005809979494190043,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,all,72,linear_logistic,20260813,0.0,0.4261790840738209,0.4747095010252905,0.048530416951469646,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,baseline_delta,72,gpu_mlp,20260813,0.0,0.474025974025974,0.45830485304169516,-0.015721120984278858,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,baseline_delta,72,linear_logistic,20260813,0.0,0.4849624060150376,0.5027341079972659,0.017771701982228327,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.0,0.4084073820915926,0.4429254955570745,0.03451811346548189,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260813,0.0,0.4531784005468216,0.49419002050580996,0.04101161995898833,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,relative_power,24,gpu_mlp,20260813,0.0,0.5082023239917977,0.5379357484620642,0.0297334244702665,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,relative_power,24,linear_logistic,20260813,0.0,0.4979494190020506,0.5334928229665071,0.035543403964456544,0.0,0.03832048053574832,0.06730769230769232,audit_population
arousal,all,72,gpu_mlp,20260813,0.25,0.4524948735475051,0.46206425153793573,0.009569377990430616,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
arousal,all,72,linear_logistic,20260813,0.25,0.4261790840738209,0.4319890635680109,0.005809979494190043,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
arousal,baseline_delta,72,gpu_mlp,20260813,0.25,0.474025974025974,0.45078605604921396,-0.02323991797676006,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
arousal,baseline_delta,72,linear_logistic,20260813,0.25,0.4849624060150376,0.5010252904989747,0.016062884483937112,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260813,0.25,0.4084073820915926,0.4531784005468216,0.04477101845522902,0.24297536880791265,0.19971834196406696,0.0536401098901099,audit_population
