dataset,task,representation,model,split_seed,partition,assignment_basis
CASE,arousal,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,arousal,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,arousal,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,arousal,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,arousal,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,arousal,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CASE,arousal,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,arousal,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,arousal,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,arousal,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CASE,arousal,baseline_delta,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,arousal,baseline_delta,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,arousal,baseline_delta,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,arousal,baseline_delta,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,arousal,baseline_delta,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,arousal,baseline_delta,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CASE,arousal,baseline_delta,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,arousal,baseline_delta,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,arousal,baseline_delta,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,arousal,baseline_delta,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CASE,arousal,facial_emg,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,arousal,facial_emg,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,arousal,facial_emg,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,arousal,facial_emg,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,arousal,facial_emg,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,arousal,facial_emg,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CASE,arousal,facial_emg,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,arousal,facial_emg,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,arousal,facial_emg,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,arousal,facial_emg,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CASE,arousal,wearable_core,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,arousal,wearable_core,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,arousal,wearable_core,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,arousal,wearable_core,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,arousal,wearable_core,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,arousal,wearable_core,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CASE,arousal,wearable_core,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,arousal,wearable_core,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,arousal,wearable_core,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,arousal,wearable_core,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CASE,valence,all,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,valence,all,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,valence,all,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,valence,all,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,valence,all,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,valence,all,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CASE,valence,all,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,valence,all,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,valence,all,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,valence,all,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CASE,valence,baseline_delta,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,valence,baseline_delta,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,valence,baseline_delta,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,valence,baseline_delta,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,valence,baseline_delta,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,valence,baseline_delta,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CASE,valence,baseline_delta,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,valence,baseline_delta,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,valence,baseline_delta,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,valence,baseline_delta,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CASE,valence,facial_emg,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,valence,facial_emg,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,valence,facial_emg,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,valence,facial_emg,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,valence,facial_emg,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,valence,facial_emg,linear_logistic,20260813,heldout,stratum_order_and_seed_only
CASE,valence,facial_emg,linear_logistic,20260829,audit,stratum_order_and_seed_only
CASE,valence,facial_emg,linear_logistic,20260911,heldout,stratum_order_and_seed_only
CASE,valence,facial_emg,linear_logistic,20260923,audit,stratum_order_and_seed_only
CASE,valence,facial_emg,linear_logistic,20261007,heldout,stratum_order_and_seed_only
CASE,valence,wearable_core,gpu_mlp,20260813,audit,stratum_order_and_seed_only
CASE,valence,wearable_core,gpu_mlp,20260829,heldout,stratum_order_and_seed_only
CASE,valence,wearable_core,gpu_mlp,20260911,audit,stratum_order_and_seed_only
CASE,valence,wearable_core,gpu_mlp,20260923,heldout,stratum_order_and_seed_only
CASE,valence,wearable_core,gpu_mlp,20261007,audit,stratum_order_and_seed_only
CASE,valence,wearable_core,linear_logistic,20260813,heldout,stratum_order_and_seed_only
