dataset,task,axis,representation,model,split_seed,nominal_dose,partition,audit_amplification,audit_event,evaluation_amplification,evaluation_event,audit_test_rows,evaluation_test_rows
CASE,arousal,subject,all,gpu_mlp,20260813,0.25,audit,-0.0057142857142856,0,0.0436507936507937,1,60,60
CASE,arousal,subject,all,gpu_mlp,20260813,0.5,audit,-0.02,0,0.0158730158730159,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260813,0.75,audit,-0.0285714285714284,0,-0.0238095238095237,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260813,1.0,audit,0.0,0,0.0,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260829,0.25,heldout,0.0,0,-0.0714285714285714,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260829,0.5,heldout,-0.0114285714285714,0,0.0119047619047619,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260829,0.75,heldout,-0.06,0,-0.0714285714285714,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260829,1.0,heldout,-0.06,0,-0.111111111111111,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260911,0.25,audit,0.0314285714285713,1,-0.0396825396825396,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260911,0.5,audit,0.1485714285714285,1,0.0238095238095237,1,60,60
CASE,arousal,subject,all,gpu_mlp,20260911,0.75,audit,-0.0142857142857142,0,-0.0396825396825396,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260911,1.0,audit,-0.0142857142857142,0,-0.0396825396825396,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260923,0.25,heldout,-0.0199999999999999,0,-0.0277777777777776,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260923,0.5,heldout,-0.0428571428571428,0,-0.1190476190476189,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260923,0.75,heldout,-0.1085714285714285,0,-0.0396825396825395,0,60,60
CASE,arousal,subject,all,gpu_mlp,20260923,1.0,heldout,-0.0685714285714286,0,-0.1190476190476189,0,60,60
CASE,arousal,subject,all,gpu_mlp,20261007,0.25,audit,0.1171428571428572,1,0.0396825396825395,1,60,60
CASE,arousal,subject,all,gpu_mlp,20261007,0.5,audit,-0.0114285714285713,0,-0.0555555555555555,0,60,60
CASE,arousal,subject,all,gpu_mlp,20261007,0.75,audit,0.0371428571428571,1,-0.0753968253968254,0,60,60
CASE,arousal,subject,all,gpu_mlp,20261007,1.0,audit,0.0428571428571429,1,-0.0873015873015874,0,60,60
CASE,arousal,subject,all,linear_logistic,20260813,0.25,heldout,0.02,1,0.0476190476190476,1,60,60
CASE,arousal,subject,all,linear_logistic,20260813,0.5,heldout,0.0257142857142858,1,-0.0277777777777776,0,60,60
