dataset,method,available,scale,shift,final_loss,probability_mean_shift,probability_rank,decision_flip_rate,order_inversions,applicable
EPPVR,coral,True,0.6988223195075989,-0.5418471693992615,0.0009619086631573737,-0.05524590423973859,1.0,0.153125,0,True
EPPVR,quantile_mapping,True,0.6911015510559082,-0.4908110797405243,0.002154635265469551,-0.046041606713793135,1.0,0.146875,0,True
SEED-IV,coral,True,1.2588531970977783,2.1317968368530273,0.002829408971592784,0.15944971231423827,0.9999999999999998,0.0,0,False
SEED-IV,quantile_mapping,True,1.0182862281799316,2.4889721870422363,0.003887268714606762,0.36432137019315364,0.9999999999999998,0.25833333333333336,0,False
DREAMER,coral,True,1.058169960975647,0.20089095830917358,0.0036101245786994696,0.021637120066248943,1.0,0.0125,0,True
DREAMER,quantile_mapping,True,1.2141283750534058,0.46523818373680115,0.0045889695174992085,0.035326204056850496,1.0,0.0625,0,True
CASE,coral,True,0.6836215853691101,-0.5756356716156006,0.0004427626554388553,-0.06031563555707044,1.0,0.134375,0,True
CASE,quantile_mapping,True,0.7163695096969604,-0.5094910264015198,0.0015848221955820918,-0.05302355007338051,1.0,0.121875,0,True
CEAP,coral,True,0.6517062187194824,-0.15981048345565796,0.00208180770277977,0.03673896705766695,1.0,0.040625,0,True
CEAP,quantile_mapping,True,0.7305787801742554,-0.012627528049051762,0.0028449625242501497,0.04373083289501774,1.0,0.003125,0,True
