event_prevalence,intracluster_correlation,clusters_per_half,configurations_per_cluster,repetitions,exact_boundary_probability,both_halves_mixed_probability,both_halves_at_least_five_events_probability,total_event_count_q05,total_event_count_median,total_event_count_q95
0.0025,0.0,30,4,50000,0.06731949044590559,0.06844,0.0,0.0,0.0,2.0
0.0025,0.25,30,4,50000,,0.03766,0.0,0.0,0.0,3.0
0.0025,0.5,30,4,50000,,0.02096,6e-05,0.0,0.0,3.0
0.0025,0.75,30,4,50000,,0.01144,2e-05,0.0,0.0,4.0
0.0025,1.0,30,4,50000,0.005233600912270855,0.00472,0.0,0.0,0.0,4.0
0.005,0.0,30,4,50000,0.2043163981050897,0.2065,0.0,0.0,1.0,3.0
0.005,0.25,30,4,50000,,0.11698,6e-05,0.0,1.0,4.0
0.005,0.5,30,4,50000,,0.07266,0.00016,0.0,0.0,5.0
0.005,0.75,30,4,50000,,0.04114,0.0002,0.0,0.0,5.0
0.005,1.0,30,4,50000,0.01949257386731242,0.01806,0.00016,0.0,0.0,4.0
0.01,0.0,30,4,50000,0.49086783607766205,0.48746,6e-05,0.0,2.0,5.0
0.01,0.25,30,4,50000,,0.3296,0.00092,0.0,2.0,6.0
0.01,0.5,30,4,50000,,0.21562,0.00252,0.0,2.0,7.0
0.01,0.75,30,4,50000,,0.13088,0.00288,0.0,1.0,8.0
0.01,1.0,30,4,50000,0.06775589561420074,0.06792,0.00114,0.0,0.0,8.0
0.02,0.0,30,4,50000,0.8307632094549231,0.83298,0.00886,2.0,5.0,9.0
0.02,0.25,30,4,50000,,0.67344,0.02116,1.0,4.0,10.0
0.02,0.5,30,4,50000,,0.5094,0.03148,0.0,4.0,11.0
0.02,0.75,30,4,50000,,0.35698,0.02984,0.0,4.0,12.0
0.02,1.0,30,4,50000,0.20658450392724662,0.20832,0.01454,0.0,4.0,12.0
0.05,0.0,30,4,50000,0.9957596519363366,0.99558,0.52484,7.0,12.0,18.0
0.05,0.25,30,4,50000,,0.97538,0.42034,5.0,12.0,20.0
0.05,0.5,30,4,50000,,0.91856,0.37192,4.0,12.0,22.0
0.05,0.75,30,4,50000,,0.809,0.32908,3.0,11.0,23.0
0.05,1.0,30,4,50000,0.6167922711010775,0.61452,0.20104,4.0,12.0,24.0
0.1,0.0,30,4,50000,0.9999935415183919,0.99998,0.98922,17.0,24.0,32.0
0.1,0.25,30,4,50000,,0.99986,0.94612,14.0,24.0,35.0
0.1,0.5,30,4,50000,,0.99674,0.8863,13.0,24.0,37.0
0.1,0.75,30,4,50000,,0.98094,0.82292,11.0,23.0,39.0
0.1,1.0,30,4,50000,0.917014693749482,0.91724,0.6648,8.0,24.0,40.0
0.2,0.0,30,4,50000,0.9999999999953029,1.0,1.0,38.0,48.0,58.0
0.2,0.25,30,4,50000,,1.0,0.99998,35.0,48.0,62.0
0.2,0.5,30,4,50000,,0.99998,0.99928,32.0,48.0,65.0
0.2,0.75,30,4,50000,,0.99992,0.99574,30.0,48.0,67.0
0.2,1.0,30,4,50000,0.9975256524169702,0.99782,0.97874,28.0,48.0,68.0
