feature,coefficient
numeric__class_balance,-0.007939519863559594
numeric__encoding_margin,0.007645657202378525
numeric__metadata_prior_opportunity,0.004381152854835308
numeric__opportunity_encoding_interaction,0.004359219561309407
numeric__n_subjects,-0.001987414062842067
numeric__n_repeated_units,-0.0019874140628419693
numeric__log_n_rows,-0.0019874140628419004
numeric__repeated_measure_completeness,-0.001987414062838592
categorical__representation_relative_power,0.0017036812340813078
categorical__representation_normalized_asymmetry,-0.0013217641285119912
categorical__representation_all,-0.0003819171055683871
numeric__n_features,-9.531516690015593e-05
numeric__label_opportunity,-6.328967108761278e-05
categorical__axis_stimulus,5.7764027690499346e-05
categorical__axis_subject,-5.776402769048559e-05
numeric__model_capacity,-5.067078891841823e-05
categorical__model_gpu_mlp,-2.5335394459204887e-05
categorical__model_linear_logistic,2.5335394459204765e-05
