scheme,held_out,feature,coefficient
leave_dataset_out,DEAP,numeric__metadata_prior_opportunity,0.6136193526464773
leave_dataset_out,DEAP,numeric__encoding_margin,0.36542429360717243
leave_dataset_out,DEAP,numeric__opportunity_delta,0.13670324208871373
leave_dataset_out,DEAP,numeric__dose_encoding_interaction,0.12949500100426833
leave_dataset_out,DEAP,numeric__model_capacity,0.12904644722296651
leave_dataset_out,MAHNOB-HCI,numeric__encoding_margin,0.3425144757925529
leave_dataset_out,MAHNOB-HCI,numeric__model_capacity,0.3138124960060894
leave_dataset_out,MAHNOB-HCI,numeric__metadata_prior_opportunity,0.24847205276431247
leave_dataset_out,MAHNOB-HCI,numeric__dose_encoding_interaction,0.19990024950776528
leave_dataset_out,MAHNOB-HCI,numeric__opportunity_delta,0.09862880464423644
leave_task_out,arousal,numeric__metadata_prior_opportunity,0.4229520075477449
leave_task_out,arousal,numeric__encoding_margin,0.29073314890592106
leave_task_out,arousal,numeric__dose_encoding_interaction,0.19313498785535055
leave_task_out,arousal,numeric__opportunity_delta,0.027417915517093203
leave_task_out,arousal,numeric__model_capacity,0.026722342495299214
leave_task_out,valence,numeric__model_capacity,0.32414394475819835
leave_task_out,valence,numeric__metadata_prior_opportunity,0.3202349407973849
leave_task_out,valence,numeric__dose_encoding_interaction,0.24969431270222542
leave_task_out,valence,numeric__opportunity_delta,0.2376142556313551
leave_task_out,valence,numeric__encoding_margin,0.224337905185098
leave_representation_out,all,numeric__metadata_prior_opportunity,0.42020001363963966
leave_representation_out,all,numeric__model_capacity,0.22979225737823028
leave_representation_out,all,numeric__dose_encoding_interaction,0.19310640411269986
leave_representation_out,all,numeric__opportunity_delta,0.18476261725581725
leave_representation_out,all,numeric__encoding_margin,-0.09045110743295365
leave_representation_out,normalized_asymmetry,numeric__metadata_prior_opportunity,0.5788142563417598
leave_representation_out,normalized_asymmetry,numeric__encoding_margin,0.35949968475925576
leave_representation_out,normalized_asymmetry,numeric__dose_encoding_interaction,0.24086990053808074
leave_representation_out,normalized_asymmetry,numeric__model_capacity,0.2038456958223262
leave_representation_out,normalized_asymmetry,numeric__opportunity_delta,0.12421448006994026
leave_representation_out,relative_power,numeric__metadata_prior_opportunity,0.5576937216964334
leave_representation_out,relative_power,numeric__model_capacity,0.2264828451423982
leave_representation_out,relative_power,numeric__opportunity_delta,0.21279032148081722
leave_representation_out,relative_power,numeric__dose_encoding_interaction,0.1989138965165234
leave_representation_out,relative_power,numeric__encoding_margin,0.19671112649122074
leave_model_out,gpu_mlp,numeric__dose_encoding_interaction,0.3882906438645594
leave_model_out,gpu_mlp,numeric__opportunity_delta,0.2727186918317291
leave_model_out,gpu_mlp,numeric__metadata_prior_opportunity,0.24868020905906518
leave_model_out,gpu_mlp,numeric__encoding_margin,0.17588224956021867
leave_model_out,gpu_mlp,numeric__model_capacity,0.0
leave_model_out,linear_logistic,numeric__metadata_prior_opportunity,0.7136493211961916
leave_model_out,linear_logistic,numeric__encoding_margin,0.2897810228528261
leave_model_out,linear_logistic,numeric__opportunity_delta,0.12302779391025391
leave_model_out,linear_logistic,numeric__dose_encoding_interaction,0.0897534333185055
leave_model_out,linear_logistic,numeric__model_capacity,0.0
