dataset,task,representation,n_features,model,split_seed,exposure_effect,axis,metadata_prior_opportunity,label_opportunity,conditional_label_entropy,identity_rate_std,identity_probe_balanced_accuracy,identity_probe_chance,encoding_margin,n_rows,n_subjects,n_repeated_units,repeated_measure_completeness,positive_fraction,class_balance,source,nominal_dose,achieved_dose,unseen_balanced_accuracy,dose_balanced_accuracy,opportunity_min,opportunity_max,opportunity_encoding_interaction,model_capacity,log_n_rows,dose_zero_exposure_effect,dose_zero_label_opportunity,dose_zero_metadata_prior_opportunity,dose_induced_amplification,opportunity_delta,metadata_prior_delta,dose_encoding_interaction,material_optimism_event,risk_row_id
DEAP,arousal,all,72,gpu_mlp,20260813,0.0337994573932688,subject,0.0644246145346276,0.0379342309283137,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2498568920110395,0.4933434861978195,0.5271429435910884,0.0131108129825088,0.1124653171134664,0.03375553830261665,4.0,7.154615356913663,0.0390162479450534,0.0131108129825088,0.0492670681429953,-0.005216790551784603,0.024823417945804904,0.015157546391632297,0.022088963312712335,0,0
DEAP,arousal,all,72,gpu_mlp,20260813,0.0600599086242196,subject,0.061002066430879,0.0628947724372778,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5009287084465756,0.4933434861978195,0.5534033948220392,0.0131108129825088,0.1124653171134664,0.05596652016098392,4.0,7.154615356913663,0.0390162479450534,0.0131108129825088,0.0492670681429953,0.0210436606791662,0.049783959454769,0.0117349982878837,0.04429994517107961,1,1
DEAP,arousal,all,72,gpu_mlp,20260813,0.0464216195499793,subject,0.0549701731025371,0.0874128828270123,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7477285219009511,0.4933434861978195,0.5397651057477988,0.0131108129825088,0.1124653171134664,0.07778380745309924,4.0,7.154615356913663,0.0390162479450534,0.0131108129825088,0.0492670681429953,0.007405371604925902,0.07430206984450351,0.005703104959541801,0.06611723246319492,0,2
DEAP,arousal,all,72,gpu_mlp,20260813,0.0514392189690471,subject,0.0616600251321203,0.1124653171134664,,,0.92109375,0.03125,0.88984375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4933434861978195,0.5447827051668667,0.0131108129825088,0.1124653171134664,0.10007655952518613,4.0,7.154615356913663,0.0390162479450534,0.0131108129825088,0.0492670681429953,0.0124229710239937,0.0993545041309576,0.012392956989125,0.0884099845352818,0,3
DEAP,arousal,all,72,gpu_mlp,20260829,0.0569888352109408,subject,0.0786728965680969,0.0384570592666282,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2501128705175056,0.4967902492158424,0.5537790844267834,0.0119520183875184,0.1179549771742002,0.034010461788924314,4.0,7.154615356913663,0.0273471775372916,0.0119520183875184,0.0303276833207938,0.0296416576736492,0.0265050408791098,0.04834521324730309,0.02344039552746273,1,4
DEAP,arousal,all,72,gpu_mlp,20260829,0.0452516868211112,subject,0.0893516539506682,0.0649933973276896,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.500236492842161,0.4967902492158424,0.5420419360369537,0.0119520183875184,0.1179549771742002,0.0574785357616755,4.0,7.154615356913663,0.0273471775372916,0.0119520183875184,0.0303276833207938,0.0179045092838196,0.053041378940171205,0.0590239706298744,0.04690846950021391,0,5
DEAP,arousal,all,72,gpu_mlp,20260829,0.0786300692882573,subject,0.0901085052444977,0.0912862631792768,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7482968123229785,0.4967902492158424,0.5754203185040998,0.0119520183875184,0.1179549771742002,0.08073128899917292,4.0,7.154615356913663,0.0273471775372916,0.0119520183875184,0.0303276833207938,0.0512828917509657,0.0793342447917584,0.0597808219237039,0.07016122273771133,1,6
DEAP,arousal,all,72,gpu_mlp,20260829,0.0677552420046192,subject,0.1067700870296718,0.1179549771742002,,,0.915625,0.03125,0.884375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4967902492158424,0.5645454912204617,0.0119520183875184,0.1179549771742002,0.1043164329384333,4.0,7.154615356913663,0.0273471775372916,0.0119520183875184,0.0303276833207938,0.0404080644673276,0.1060029587866818,0.076442403708878,0.09374636667697171,1,7
DEAP,arousal,all,72,gpu_mlp,20260911,0.062735121178808,subject,0.0516318965810277,0.038854474709368,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2502142582383338,0.5063413379592743,0.5690764591380824,0.0126240897781276,0.1174446589850672,0.034194973250080515,4.0,7.154615356913663,0.0363864207118435,0.0126240897781276,0.0548379274568029,0.026348700466964498,0.0262303849312404,-0.003206030875775201,0.023084787988314304,1,8
DEAP,arousal,all,72,gpu_mlp,20260911,0.039989510947948,subject,0.0818109747026205,0.0650583639526406,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5001754796308471,0.5063413379592743,0.5463308489072223,0.0126240897781276,0.1174446589850672,0.05725644296300753,4.0,7.154615356913663,0.0363864207118435,0.0126240897781276,0.0548379274568029,0.0036030902361044934,0.052434274174513,0.026973047245817595,0.046146257701241325,0,9
