dataset,task,representation,n_features,model,split_seed,exposure_effect,axis,metadata_prior_opportunity,label_opportunity,conditional_label_entropy,identity_rate_std,identity_probe_balanced_accuracy,identity_probe_chance,encoding_margin,n_rows,n_subjects,n_repeated_units,repeated_measure_completeness,positive_fraction,class_balance,source,nominal_dose,achieved_dose,unseen_balanced_accuracy,dose_balanced_accuracy,opportunity_min,opportunity_max,opportunity_encoding_interaction,model_capacity,log_n_rows
DEAP,arousal,absolute_power,24,linear_logistic,20260813,-0.0063211667053282,stimulus,0.1352558219281702,0.04672066379954461,0.8627342166631488,0.16809064725526465,0.043359375,0.025,0.018359374999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0008577621869447641,1.0,7.154615356913663
DEAP,arousal,absolute_power,24,linear_logistic,20260829,-0.0057135076802048,stimulus,0.1403616705832517,0.051759898211017195,0.8619930530490314,0.17866882829707684,0.0421875,0.025,0.017187499999999998,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.000889623250501858,1.0,7.154615356913663
DEAP,arousal,absolute_power,24,linear_logistic,20260911,-0.0140038930520116,stimulus,0.1347691904267228,0.05221623661870464,0.8627177804053768,0.17797634501234127,0.034765624999999994,0.025,0.009765624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0005099241857295374,1.0,7.154615356913663
DEAP,arousal,absolute_power,24,linear_logistic,20260923,0.0103012072495486,stimulus,0.1414004901614709,0.05333766586397653,0.8611313093854998,0.18030213782006244,0.036328125,0.025,0.011328124999999998,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.000604215746115359,1.0,7.154615356913663
DEAP,arousal,absolute_power,24,linear_logistic,20261007,0.0078693104456837,stimulus,0.1420636201349456,0.05091622858642223,0.8615195665880228,0.17699883121603602,0.041015625,0.025,0.016015625,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0008154552234544185,1.0,7.154615356913663
DEAP,arousal,absolute_power,24,rbf_svm,20260813,0.0086206896551723,stimulus,0.1352558219281702,0.04672066379954461,0.8627342166631488,0.16809064725526465,0.043359375,0.025,0.018359374999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0008577621869447641,2.0,7.154615356913663
DEAP,arousal,absolute_power,24,rbf_svm,20260829,-0.002232705671148,stimulus,0.1403616705832517,0.051759898211017195,0.8619930530490314,0.17866882829707684,0.0421875,0.025,0.017187499999999998,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.000889623250501858,2.0,7.154615356913663
DEAP,arousal,absolute_power,24,rbf_svm,20260911,0.0005521880767718,stimulus,0.1347691904267228,0.05221623661870464,0.8627177804053768,0.17797634501234127,0.034765624999999994,0.025,0.009765624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0005099241857295374,2.0,7.154615356913663
DEAP,arousal,absolute_power,24,rbf_svm,20260923,-0.0058357959072525,stimulus,0.1414004901614709,0.05333766586397653,0.8611313093854998,0.18030213782006244,0.036328125,0.025,0.011328124999999998,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.000604215746115359,2.0,7.154615356913663
DEAP,arousal,absolute_power,24,rbf_svm,20261007,0.0154625268529818,stimulus,0.1420636201349456,0.05091622858642223,0.8615195665880228,0.17699883121603602,0.041015625,0.025,0.016015625,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0008154552234544185,2.0,7.154615356913663
DEAP,arousal,all,72,extra_trees,20260813,0.0061232362759831,stimulus,0.1352558219281702,0.04672066379954461,0.8627342166631488,0.16809064725526465,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0009307632241315527,3.0,7.154615356913663
DEAP,arousal,all,72,extra_trees,20260829,0.0108874343173543,stimulus,0.1403616705832517,0.051759898211017195,0.8619930530490314,0.17866882829707684,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0011524664836046795,3.0,7.154615356913663
DEAP,arousal,all,72,extra_trees,20260911,0.0009177920545431,stimulus,0.1347691904267228,0.05221623661870464,0.8627177804053768,0.17797634501234127,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0011626271434633454,3.0,7.154615356913663
DEAP,arousal,all,72,extra_trees,20260923,-0.001381730895301,stimulus,0.1414004901614709,0.05333766586397653,0.8611313093854998,0.18030213782006244,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.000979246209221444,3.0,7.154615356913663
